"","year","sites","total_sr","Region"
"1",1974,150,51,"NFLS"
"2",1984,727,77,"NFLS"
"3",1985,810,75,"NFLS"
"4",1975,101,52,"NFLS"
"5",1986,442,67,"NFLS"
"6",1987,635,71,"NFLS"
"7",1976,163,59,"NFLS"
"8",1988,568,64,"NFLS"
"9",1989,591,61,"NFLS"
"10",1990,878,68,"NFLS"
"11",1977,312,64,"NFLS"
"12",1991,925,71,"NFLS"
"13",1992,830,79,"NFLS"
"14",1993,889,88,"NFLS"
"15",1994,830,83,"NFLS"
"16",1995,744,94,"NFLS"
"17",1996,913,104,"NFLS"
"18",1997,947,109,"NFLS"
"19",1998,953,104,"NFLS"
"20",1978,785,88,"NFLS"
"21",1999,846,103,"NFLS"
"22",2000,918,109,"NFLS"
"23",2001,852,106,"NFLS"
"24",2002,794,114,"NFLS"
"25",2003,657,98,"NFLS"
"26",2004,707,87,"NFLS"
"27",1979,582,78,"NFLS"
"28",1980,278,59,"NFLS"
"29",1973,92,52,"NFLS"
"30",1981,616,75,"NFLS"
"31",1982,654,70,"NFLS"
"32",1983,696,74,"NFLS"
"33",1973,134,44,"SS"
"34",1974,153,65,"SS"
"35",1975,143,52,"SS"
"36",1976,135,42,"SS"
"37",1977,144,39,"SS"
"38",1978,141,47,"SS"
"39",1979,147,53,"SS"
"40",1980,144,53,"SS"
"41",1981,142,49,"SS"
"42",1982,150,54,"SS"
"43",1983,146,59,"SS"
"44",1984,143,54,"SS"
"45",1985,152,56,"SS"
"46",1986,171,55,"SS"
"47",1987,188,59,"SS"
"48",1988,177,59,"SS"
"49",1989,170,54,"SS"
"50",1990,213,56,"SS"
"51",1991,189,57,"SS"
"52",1992,193,59,"SS"
"53",1993,190,65,"SS"
"54",1994,195,61,"SS"
"55",1995,195,73,"SS"
"56",1996,191,71,"SS"
"57",1997,192,70,"SS"
"58",1998,186,70,"SS"
"59",1999,191,68,"SS"
"60",2000,213,72,"SS"
"61",2001,201,68,"SS"
"62",2002,208,72,"SS"
"63",2003,216,71,"SS"
"64",1973,449,192,"NEUS"
"65",1974,373,152,"NEUS"
"66",1975,406,161,"NEUS"
"67",1976,337,157,"NEUS"
"68",1977,412,147,"NEUS"
"69",1978,550,180,"NEUS"
"70",1979,586,232,"NEUS"
"71",1980,418,225,"NEUS"
"72",1981,387,244,"NEUS"
"73",1982,295,204,"NEUS"
"74",1983,378,229,"NEUS"
"75",1984,301,129,"NEUS"
"76",1985,290,158,"NEUS"
"77",1986,286,173,"NEUS"
"78",1987,289,143,"NEUS"
"79",1988,285,141,"NEUS"
"80",1989,277,177,"NEUS"
"81",1990,291,166,"NEUS"
"82",1991,305,186,"NEUS"
"83",1992,284,197,"NEUS"
"84",1993,298,178,"NEUS"
"85",1994,287,174,"NEUS"
"86",1995,297,192,"NEUS"
"87",1996,263,166,"NEUS"
"88",1997,284,163,"NEUS"
"89",1998,294,174,"NEUS"
"90",1999,296,160,"NEUS"
"91",2000,294,186,"NEUS"
"92",2001,283,161,"NEUS"
"93",2002,287,198,"NEUS"
"94",2003,281,170,"NEUS"
